"Date","Price","Open","High","Low","Vol.","Change %"
"15-04-2022","82.4560","82.6085","82.6380","82.3695","40.71K","-0.15%"
"14-04-2022","82.5800","82.8735","83.1490","81.9990","88.01K","-0.30%"
"13-04-2022","82.8300","82.3740","82.9695","82.3235","77.58K","0.60%"
"12-04-2022","82.3380","82.5245","83.0185","82.3550","57.42K","-0.20%"
"11-04-2022","82.5040","83.0620","83.1875","82.4820","63.32K","-0.10%"
"08-04-2022","82.5900","82.5860","82.6475","82.2185","62.68K","0.04%"
"07-04-2022","82.5540","82.7445","83.1245","82.4620","69.36K","-0.20%"
"06-04-2022","82.7170","82.3020","83.0190","82.1455","63.72K","0.56%"
"05-04-2022","82.2560","82.7925","82.8970","82.2025","56.34K","-0.59%"
"04-04-2022","82.7460","83.8910","84.0165","82.6760","76.17K","-1.46%"
"01-04-2022","83.9730","84.0140","84.1325","83.7765","98.41K","-0.01%"
"31-03-2022","83.9850","84.6035","84.8170","83.9535","80.07K","-0.69%"
"30-03-2022","84.5710","83.8915","84.6700","83.8575","85.83K","0.86%"
"29-03-2022","83.8470","83.5465","84.2580","83.4015","87.71K","0.39%"
"28-03-2022","83.5210","83.8295","83.8410","83.3085","61.28K","-0.29%"
"25-03-2022","83.7630","83.9125","84.2140","83.7380","58.04K","-0.15%"
"24-03-2022","83.8920","84.2135","84.2935","83.7095","56.89K","-0.37%"
"23-03-2022","84.2030","83.9955","84.2520","83.7650","65.44K","0.29%"
"22-03-2022","83.9570","84.0510","84.1160","83.6395","70.16K","-0.07%"
"21-03-2022","84.0150","84.1275","84.2760","83.9060","67.41K","-0.02%"
"18-03-2022","84.0280","84.2220","84.4530","83.7490","60.31K","-0.18%"
"17-03-2022","84.1790","84.0945","84.6240","83.5860","81.87K","0.15%"
"16-03-2022","84.0530","83.7260","84.1815","83.4280","89.28K","0.45%"
"15-03-2022","83.6770","83.6360","84.3515","83.4925","86.02K","0.08%"
"14-03-2022","83.6070","83.7255","84.1650","83.4595","74.64K","0.21%"
"11-03-2022","83.4350","83.8190","84.4105","83.4075","89.71K","-0.42%"
"10-03-2022","83.7890","84.5935","84.8925","83.7575","93.99K","-0.92%"
"09-03-2022","84.5630","83.8495","84.7540","83.7460","105.19K","0.91%"
"08-03-2022","83.8020","83.5485","84.4930","83.3430","104.68K","0.34%"
"07-03-2022","83.5170","83.7085","84.0440","82.6995","105.11K","0.04%"
"04-03-2022","83.4860","84.0805","84.0880","83.1305","87.85K","-0.64%"
"03-03-2022","84.0230","84.0950","84.3325","83.8180","83.69K","-0.08%"
"02-03-2022","84.0870","84.3220","84.4930","83.7740","84.83K","-0.22%"
"01-03-2022","84.2740","84.7190","84.7455","84.0765","90.28K","-0.50%"
"28-02-2022","84.6960","83.9265","84.9375","83.4985","92.25K","0.15%"
"25-02-2022","84.5700","84.6285","84.7150","84.0965","82.44K","-0.04%"
"24-02-2022","84.6040","84.4400","84.8720","84.0300","105.70K","0.24%"
"23-02-2022","84.3990","84.5295","84.7135","84.3375","66.84K","-0.13%"
"22-02-2022","84.5070","84.3015","84.9625","84.1825","88.48K","0.30%"
"21-02-2022","84.2540","84.5085","84.8370","84.2565","54.08K","-0.33%"
"18-02-2022","84.5340","85.3345","85.3980","84.4695","66.84K","-0.91%"
"17-02-2022","85.3140","85.3655","85.4630","85.0475","83.14K","-0.01%"
"16-02-2022","85.3230","85.4005","85.5305","85.2140","75.63K","-0.02%"
"15-02-2022","85.3390","85.5780","85.7480","85.2185","78.73K","-0.23%"
"14-02-2022","85.5320","85.4745","85.8975","85.3335","84.32K","0.06%"
"11-02-2022","85.4790","85.8260","85.9950","85.3655","85.17K","-0.36%"
"10-02-2022","85.7870","85.4980","86.3370","85.3760","87.36K","0.44%"
"09-02-2022","85.4110","85.3025","85.6650","85.2385","70.16K","0.19%"
"08-02-2022","85.2510","85.4285","85.4770","85.1680","103.51K","-0.16%"
"07-02-2022","85.3900","85.6070","85.6140","85.2250","77.61K","-0.05%"
"04-02-2022","85.4330","85.3855","85.7880","85.3105","91.22K","0.07%"
"03-02-2022","85.3720","84.5870","85.5560","84.3780","78.76K","0.99%"
"02-02-2022","84.5340","84.2445","84.6945","84.1585","52.96K","0.39%"
"01-02-2022","84.2060","83.7560","84.3735","83.6315","58.97K","0.58%"
"31-01-2022","83.7180","83.6505","83.9115","83.2700","60.86K","0.13%"
"28-01-2022","83.6110","83.8290","83.9190","83.3875","68.51K","-0.20%"
"27-01-2022","83.7820","84.1900","84.4705","83.7000","73.83K","-0.42%"
"26-01-2022","84.1360","84.5175","84.6890","84.1525","65.01K","-0.41%"
"25-01-2022","84.4830","84.5280","84.6235","84.2520","79.99K","0.00%"
"24-01-2022","84.4870","84.4025","84.6650","84.1705","100.61K","0.16%"
"21-01-2022","84.3500","84.2380","84.4955","84.1520","75.76K","0.18%"
"20-01-2022","84.1980","84.4470","84.6250","84.0800","78.90K","-0.25%"
"19-01-2022","84.4090","84.4150","84.6675","84.3095","93.18K","-0.04%"
"18-01-2022","84.4390","84.7135","85.0270","84.3630","108.11K","-0.29%"
"17-01-2022","84.6830","84.6415","84.9610","84.5340","65.99K","0.06%"
"14-01-2022","84.6360","84.7505","85.1425","84.4480","70.10K","-0.08%"
"13-01-2022","84.7010","84.4465","84.8710","84.4090","64.51K","0.34%"
"12-01-2022","84.4140","83.9010","84.5295","83.8725","65.85K","0.66%"
"11-01-2022","83.8630","83.8335","84.0035","83.6265","64.53K","0.05%"
"10-01-2022","83.8200","84.3270","84.3905","83.6160","60.16K","-0.64%"
"07-01-2022","84.3640","84.0030","84.4205","83.9040","49.09K","0.45%"
"06-01-2022","83.9820","84.0460","84.3905","83.9285","71.47K","-0.06%"
"05-01-2022","84.0330","84.1220","84.3185","83.9530","49.97K","-0.05%"
"04-01-2022","84.0740","84.0565","84.4050","84.0030","53.33K","0.09%"
"03-01-2022","83.9970","84.6570","84.7725","83.8340","36.15K","-0.78%"
"31-12-2021","84.6540","84.2530","84.8170","83.7930","31.28K","0.50%"
"30-12-2021","84.2360","84.6370","84.7155","84.0290","42.99K","-0.44%"
"29-12-2021","84.6110","84.5065","84.7850","84.2145","47.61K","0.16%"
"28-12-2021","84.4780","84.9300","84.9675","84.3195","48.49K","-0.50%"
"27-12-2021","84.9000","84.8890","85.1325","84.7455","42.51K","0.06%"
"24-12-2021","84.8490","85.0150","85.2420","84.7765","50.93K","-0.16%"
"23-12-2021","84.9830","85.4620","85.6265","84.8330","63.03K","-0.52%"
"22-12-2021","85.4280","85.3880","85.6085","85.0675","67.37K","0.03%"
"21-12-2021","85.4010","85.4005","85.5425","85.0555","79.89K","0.03%"
"20-12-2021","85.3740","85.4540","85.7580","85.3570","84.83K","-0.02%"
"17-12-2021","85.3930","86.3205","86.4985","85.3970","69.97K","-1.02%"
